,종목명,2011지배구조,2012지배구조,2013지배구조,2014지배구조,2015지배구조,2016지배구조,2017지배구조,2018지배구조,종목코드,시장구분,업종명,시가총액,2012-2011지배구조차이,2013-2012지배구조차이,2014-2013지배구조차이,2015-2014지배구조차이,2016-2015지배구조차이,2017-2016지배구조차이,2018-2017지배구조차이
203,서원,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,21050.0,KOSPI,철강금속,64375544040.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
204,선도전기,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7610.0,KOSPI,전기전자,54000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,SUN&L,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2820.0,KOSPI,종이목재,32591651565.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
206,성문전자,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14910.0,KOSPI,전기전자,32029364610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,성신양회,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4980.0,KOSPI,비금속광물,206670000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
208,성창기업지주,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,180.0,KOSPI,서비스업,132737000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,세방,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4360.0,KOSPI,운수창고업,224946000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,세방전지,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4490.0,KOSPI,전기전자,1303400000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
211,세아베스틸지주,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1430.0,KOSPI,철강금속,747725000000.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0
212,세아제강,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,306200.0,KOSPI,철강금속,384886000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
213,세원정공,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,21820.0,KOSPI,운수장비,78200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,에스제이지세종,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,33530.0,KOSPI,운수장비,158858000000.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0
215,송원산업,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4430.0,KOSPI,화학,324000000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
216,수산중공업,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,17550.0,KOSPI,기계,124611000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,신대양제지,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,16590.0,KOSPI,종이목재,229698000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,신도리코,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,29530.0,KOSPI,전기전자,373969000000.0,1.0,0.0,-1.0,1.0,0.0,0.0,-1.0
219,신세계,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4170.0,KOSPI,유통업,1618550000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
220,신세계건설,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,34300.0,KOSPI,건설업,80709761600.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
221,신일전자,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2700.0,KOSPI,유통업,132362000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,신풍제약,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,19170.0,KOSPI,의약품,722715000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,신풍,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2870.0,KOSPI,유통업,29470184100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
224,신한지주,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,55550.0,KOSPI,기타금융,22566100000000.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0
225,쌍용C&E,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3410.0,KOSPI,비금속광물,3495870000000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
226,써니전자,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4770.0,KOSPI,전기전자,72304681480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,아남전자,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8700.0,KOSPI,전기전자,141987000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,아모레퍼시픽,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,90430.0,KOSPI,화학,8288420000000.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
229,아세아,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2030.0,KOSPI,서비스업,490830000000.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
230,아세아제지,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2310.0,KOSPI,종이목재,385577000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,아시아나항공,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,20560.0,KOSPI,운수창고업,798438000000.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0
232,아이에스동서,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10780.0,KOSPI,비금속광물,781843000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,알루코,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1780.0,KOSPI,철강금속,314699000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,에스엘,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5850.0,KOSPI,운수장비,1439900000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,SJM홀딩스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,25530.0,KOSPI,유통업,54882479400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,에이엔피,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,15260.0,KOSPI,전기전자,52019778782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,에이프로젠,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7460.0,KOSPI,기계,384544000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,엔케이,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,85310.0,KOSPI,기계,70705283168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,영보화학,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14440.0,KOSPI,화학,68800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,영진약품,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3520.0,KOSPI,의약품,375845000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,영풍,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,670.0,KOSPI,철강금속,723922000000.0,1.0,0.0,0.0,0.0,-1.0,1.0,-1.0
242,영풍제지,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6740.0,KOSPI,종이목재,86038455948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,우리금융지주,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,316140.0,KOSPI,기타금융,10507700000000.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0
244,웅진씽크빅,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,95720.0,KOSPI,서비스업,250648000000.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
245,유니드,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,14830.0,KOSPI,화학,550883000000.0,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0
246,유니온,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,910.0,KOSPI,비금속광물,85707788310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,유니온머티리얼,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,47400.0,KOSPI,비금속광물,120750000000.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
248,유성기업,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2920.0,KOSPI,운수장비,69669037500.0,1.0,-1.0,0.0,0.0,1.0,0.0,-1.0
249,유수홀딩스,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,700.0,KOSPI,서비스업,141928000000.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
250,와이투솔루션,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,11690.0,KOSPI,전기전자,127828000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,유한양행,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,KOSPI,의약품,5742970000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
252,이건산업,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8250.0,KOSPI,종이목재,59253755350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,이구산업,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,25820.0,KOSPI,철강금속,221720000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
254,이수페타시스,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,7660.0,KOSPI,전기전자,2270550000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
255,이수화학,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5950.0,KOSPI,화학,266311000000.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0
256,이아이디,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,93230.0,KOSPI,유통업,354103000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,이화산업,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,760.0,KOSPI,유통업,40012000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,인디에프,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14990.0,KOSPI,섬유의복,51076836600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,인스코비,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,6490.0,KOSPI,통신업,141532000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
260,인지컨트롤스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,23800.0,KOSPI,운수장비,118253000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,인팩,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,23810.0,KOSPI,운수장비,83800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,일동홀딩스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,230.0,KOSPI,의약품,99593652000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,일성건설,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,13360.0,KOSPI,건설업,78282051120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,일진다이아,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,81000.0,KOSPI,화학,181656000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,일진디스플,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,20760.0,KOSPI,전기전자,55171216611.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
266,일진전기,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,103590.0,KOSPI,전기전자,911268000000.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
267,일진홀딩스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,15860.0,KOSPI,기타금융,202078000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,자화전자,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,33240.0,KOSPI,전기전자,533956000000.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0
269,제일연마,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1560.0,KOSPI,비금속광물,85100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,제일파마홀딩스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2620.0,KOSPI,서비스업,163887000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,조광페인트,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4910.0,KOSPI,화학,79232000000.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
272,조일알미늄,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,18470.0,KOSPI,철강금속,298218000000.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0
273,조흥,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2600.0,KOSPI,음식료품,104520000000.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
274,종근당바이오,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,63160.0,KOSPI,의약품,128646000000.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
275,진양화학,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,51630.0,KOSPI,화학,56248000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,진흥기업,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2780.0,KOSPI,건설업,137180000000.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
277,체시스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,33250.0,KOSPI,운수장비,39520000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,카프로,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,6380.0,KOSPI,화학,29280000000.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
279,KCC,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2380.0,KOSPI,화학,2146080000000.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
280,KCTC,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9070.0,KOSPI,운수창고업,113100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,KT,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,30200.0,KOSPI,통신업,8820760000000.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
282,KT&G,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,33780.0,KOSPI,기타제조업,11846300000000.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0
283,코리아써키트,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,7810.0,KOSPI,전기전자,365413000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
284,코스맥스비티아이,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,44820.0,KOSPI,기타금융,91333288710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,코스모화학,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5420.0,KOSPI,화학,1219460000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
286,코아스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,71950.0,KOSPI,기타제조업,14062780550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,코오롱,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2020.0,KOSPI,기타금융,202780000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,코오롱글로벌,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3070.0,KOSPI,건설업,161496000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,코웨이,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,21240.0,KOSPI,서비스업,4125400000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
290,아센디오,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,12170.0,KOSPI,서비스업,112373000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,태광산업,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3240.0,KOSPI,화학,702555000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,태림포장,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,11280.0,KOSPI,종이목재,199673000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,태양금속,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4100.0,KOSPI,운수장비,72188900000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
294,태영건설,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,9410.0,KOSPI,건설업,89856916380.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0
295,티에이치엔,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,19180.0,KOSPI,전기전자,63900000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,팜스코,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,36580.0,KOSPI,음식료품,106327000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,퍼시스,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,16800.0,KOSPI,기타제조업,407100000000.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0
298,평화산업,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,90080.0,KOSPI,운수장비,61490530080.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
299,POSCO홀딩스,6.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,5490.0,KOSPI,철강금속,33405600000000.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0
300,포스코스틸리온,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,58430.0,KOSPI,철강금속,279300000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
301,포스코인터내셔널,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,47050.0,KOSPI,유통업,7890140000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
302,풀무원,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,17810.0,KOSPI,음식료품,470026000000.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.0
303,풍산,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,103140.0,KOSPI,철강금속,1670250000000.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
304,KH필룩스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,33180.0,KOSPI,전기전자,120579000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,하나금융지주,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,86790.0,KOSPI,기타금융,16664300000000.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0
