,종목명,2011지배구조,2012지배구조,2013지배구조,2014지배구조,2015지배구조,2016지배구조,2017지배구조,2018지배구조,종목코드,시장구분,업종명,시가총액
322,동원금속,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,18500.0,KOSPI,운수장비,76865109852.0
325,동원시스템즈,B이하,B이하,B이하,B이하,B이하,B이하,B+,B이하,14820.0,KOSPI,화학,1174150000000.0
327,동일산업,B이하,B+,B이하,B+,B+,B+,B+,B+,4890.0,KOSPI,철강금속,105012000000.0
329,동화약품,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,20.0,KOSPI,의약품,243004000000.0
330,두산,A,A+,A+,A,A,A,A,A+,150.0,KOSPI,기타금융,2204280000000.0
332,HD현대인프라코어,A,A+,A,A,A,A,A+,A+,42670.0,KOSPI,기계,1536950000000.0
333,두산에너빌리티,B이하,A,A+,A,A,A,A,A,34020.0,KOSPI,기계,10076000000000.0
335,디아이,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3160.0,KOSPI,의료정밀,538549000000.0
336,디아이씨,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,92200.0,KOSPI,운수장비,240331000000.0
337,디와이,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,13570.0,KOSPI,기타금융,150285000000.0
344,롯데쇼핑,A,A,A,A,A,A,A,A,23530.0,KOSPI,유통업,1892520000000.0
345,롯데정밀화학,B+,B+,B이하,B+,B+,A,A,A,4000.0,KOSPI,화학,1111980000000.0
347,롯데칠성,B이하,B+,B+,B+,A,A,A,B+,5300.0,KOSPI,음식료품,1183060000000.0
348,롯데케미칼,A,A+,A,A+,A+,A,A,B+,11170.0,KOSPI,화학,4290370000000.0
357,모나미,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5360.0,KOSPI,유통업,51117215435.0
358,모토닉,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9680.0,KOSPI,운수장비,274560000000.0
359,무림P&P,B이하,B이하,B+,B+,B+,B+,B이하,B+,9580.0,KOSPI,종이목재,190535000000.0
360,무림페이퍼,B이하,B+,B+,B+,B+,B+,B+,B+,9200.0,KOSPI,종이목재,89251969950.0
362,미래산업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,25560.0,KOSPI,의료정밀,66641196300.0
366,미원상사,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2840.0,KOSPI,화학,907725000000.0
367,미원홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,107590.0,KOSPI,기타금융,179336000000.0
369,방림,B이하,B이하,B이하,B이하,B이하,B+,B+,B+,3610.0,KOSPI,섬유의복,88224877650.0
371,백광산업,B이하,B+,B+,B+,B+,B+,B+,B+,1340.0,KOSPI,화학,360246000000.0
373,백산,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,35150.0,KOSPI,화학,297198000000.0
376,보락,B이하,B+,B이하,B이하,B이하,B이하,B이하,B이하,2760.0,KOSPI,화학,67567200000.0
385,부산주공,B이하,B이하,B이하,B+,B+,B+,B+,B이하,5030.0,KOSPI,운수장비,38288532168.0
389,사조동아원,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,8040.0,KOSPI,음식료품,136487000000.0
394,삼성SDI,A+,A+,A+,A,A+,A,A,A,6400.0,KOSPI,전기전자,28984200000000.0
395,삼성공조,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,6660.0,KOSPI,운수장비,73543141700.0
396,삼성물산,A,A,A,A,B+,A,A,A+,28260.0,KOSPI,유통업,27356200000000.0
397,삼성E&A,B이하,B이하,B+,A,A,A,A,A,28050.0,KOSPI,서비스업,5154800000000.0
398,삼성전기,A+,A+,A+,A+,A,A+,A+,A,9150.0,KOSPI,전기전자,10823100000000.0
399,삼성전자,A+,A,A,A,A+,A,A,A,5930.0,KOSPI,전기전자,454300000000000.0
401,삼성중공업,B+,B+,B+,A,B+,A,B+,A,10140.0,KOSPI,운수장비,8342400000000.0
402,삼성증권,B+,B+,B이하,B이하,B이하,B이하,B이하,B이하,16360.0,KOSPI,증권,3344290000000.0
405,삼성화재,B+,B+,A,A,A,A,A,A+,810.0,KOSPI,보험,14236100000000.0
406,삼아알미늄,B이하,B이하,B이하,B이하,B이하,B이하,B+,B이하,6110.0,KOSPI,철강금속,1119580000000.0
411,삼양통상,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,2170.0,KOSPI,기타제조업,148800000000.0
412,삼양홀딩스,B+,B+,B이하,B이하,B이하,B이하,B이하,B이하,70.0,KOSPI,기타금융,586653000000.0
421,삼천리,B이하,B이하,B이하,B+,B+,B+,B+,B+,4690.0,KOSPI,전기가스업,369818000000.0
424,삼화왕관,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4450.0,KOSPI,기계,70448193300.0
425,삼화전기,B이하,B이하,B이하,B+,B이하,B이하,B이하,B이하,9470.0,KOSPI,전기전자,251325000000.0
426,삼화전자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,11230.0,KOSPI,전기전자,67526286500.0
427,삼화콘덴서,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1820.0,KOSPI,전기전자,466736000000.0
428,삼화페인트,B이하,B+,B이하,B+,B+,B+,B+,B+,390.0,KOSPI,화학,202666000000.0
430,상신브레이크,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,41650.0,KOSPI,운수장비,82020939000.0
431,새론오토모티브,B이하,B+,B+,B+,B+,B+,B+,B+,75180.0,KOSPI,운수장비,72960000000.0
433,서연,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,7860.0,KOSPI,기타금융,214136000000.0
434,서울가스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,17390.0,KOSPI,전기가스업,284000000000.0
435,서울식품,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4410.0,KOSPI,음식료품,64457956148.0
437,서원,B이하,B이하,B이하,B이하,B이하,B+,B+,B+,21050.0,KOSPI,철강금속,64375544040.0
439,선도전기,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,7610.0,KOSPI,전기전자,54000000000.0
441,SUN&L,B이하,B이하,B이하,B이하,B이하,B+,B이하,B이하,2820.0,KOSPI,종이목재,32591651565.0
442,성문전자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,14910.0,KOSPI,전기전자,32029364610.0
444,성신양회,B이하,B+,B+,B+,B+,B+,B+,B+,4980.0,KOSPI,비금속광물,206670000000.0
446,성창기업지주,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,180.0,KOSPI,서비스업,132737000000.0
448,세방,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4360.0,KOSPI,운수창고업,224946000000.0
449,세방전지,B이하,B+,B+,B+,B+,B+,B+,B+,4490.0,KOSPI,전기전자,1303400000000.0
450,세아베스틸지주,B이하,B+,B+,B이하,B+,B+,B+,B+,1430.0,KOSPI,철강금속,747725000000.0
451,세아제강,B이하,B+,B+,B+,B+,B+,B+,B+,306200.0,KOSPI,철강금속,384886000000.0
455,세원정공,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,21820.0,KOSPI,운수장비,78200000000.0
457,에스제이지세종,B이하,B+,B이하,B이하,B이하,B이하,B+,B이하,33530.0,KOSPI,운수장비,158858000000.0
460,송원산업,B이하,B+,B+,B+,B+,B+,B+,B+,4430.0,KOSPI,화학,324000000000.0
461,수산중공업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,17550.0,KOSPI,기계,124611000000.0
462,신대양제지,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,16590.0,KOSPI,종이목재,229698000000.0
463,신도리코,B이하,B+,B+,B이하,B+,B+,B+,B이하,29530.0,KOSPI,전기전자,373969000000.0
468,신세계,B이하,B이하,B+,B+,B+,B+,B+,B+,4170.0,KOSPI,유통업,1618550000000.0
470,신세계건설,B이하,B이하,B이하,B이하,B이하,B+,B이하,B이하,34300.0,KOSPI,건설업,80709761600.0
475,신일전자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2700.0,KOSPI,유통업,132362000000.0
476,신풍제약,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,19170.0,KOSPI,의약품,722715000000.0
477,신풍,B이하,B+,B+,B+,B+,B+,B+,B+,2870.0,KOSPI,유통업,29470184100.0
479,신한지주,A,B+,A,A,A,A+,A+,A+,55550.0,KOSPI,기타금융,22566100000000.0
483,쌍용C&E,B+,B+,B+,B+,B+,A,A,A,3410.0,KOSPI,비금속광물,3495870000000.0
484,써니전자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4770.0,KOSPI,전기전자,72304681480.0
486,아남전자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,8700.0,KOSPI,전기전자,141987000000.0
487,아모레퍼시픽,A,A,B+,B+,B+,A,A,A,90430.0,KOSPI,화학,8288420000000.0
490,아세아,B+,B+,B+,B+,B이하,B이하,B이하,B이하,2030.0,KOSPI,서비스업,490830000000.0
491,아세아제지,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2310.0,KOSPI,종이목재,385577000000.0
493,아시아나항공,A,A,A,B+,A,B+,B+,B+,20560.0,KOSPI,운수창고업,798438000000.0
494,아이에스동서,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,10780.0,KOSPI,비금속광물,781843000000.0
497,알루코,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1780.0,KOSPI,철강금속,314699000000.0
501,에스엘,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5850.0,KOSPI,운수장비,1439900000000.0
503,SJM홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,25530.0,KOSPI,유통업,54882479400.0
505,에이엔피,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,15260.0,KOSPI,전기전자,52019778782.0
506,에이프로젠,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,7460.0,KOSPI,기계,384544000000.0
509,엔케이,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,85310.0,KOSPI,기계,70705283168.0
512,영보화학,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,14440.0,KOSPI,화학,68800000000.0
515,영진약품,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3520.0,KOSPI,의약품,375845000000.0
516,영풍,B이하,B+,B+,B+,B+,B이하,B+,B이하,670.0,KOSPI,철강금속,723922000000.0
517,영풍제지,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,6740.0,KOSPI,종이목재,86038455948.0
524,우리금융지주,B+,B이하,B이하,B+,B이하,B이하,B이하,B이하,316140.0,KOSPI,기타금융,10507700000000.0
532,웅진씽크빅,B+,B+,B+,B이하,B이하,B이하,B이하,B이하,95720.0,KOSPI,서비스업,250648000000.0
536,유니드,B이하,B+,B이하,B이하,B+,B+,B이하,B이하,14830.0,KOSPI,화학,550883000000.0
537,유니온,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,910.0,KOSPI,비금속광물,85707788310.0
538,유니온머티리얼,B이하,B이하,B이하,B이하,B+,B+,B+,B이하,47400.0,KOSPI,비금속광물,120750000000.0
541,유성기업,B이하,B+,B이하,B이하,B이하,B+,B+,B이하,2920.0,KOSPI,운수장비,69669037500.0
542,유수홀딩스,B+,B+,B+,B이하,B이하,B이하,B이하,B이하,700.0,KOSPI,서비스업,141928000000.0
544,와이투솔루션,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,11690.0,KOSPI,전기전자,127828000000.0
548,유한양행,B이하,B+,B+,B+,B+,B+,B+,B+,100.0,KOSPI,의약품,5742970000000.0
551,이건산업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,8250.0,KOSPI,종이목재,59253755350.0
552,이구산업,B이하,B이하,B이하,B+,B+,B+,B+,B+,25820.0,KOSPI,철강금속,221720000000.0
553,이수페타시스,B이하,B이하,B이하,B+,B+,B+,B+,B+,7660.0,KOSPI,전기전자,2270550000000.0
554,이수화학,B이하,B+,B+,B+,B이하,B이하,B+,B+,5950.0,KOSPI,화학,266311000000.0
556,이아이디,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,93230.0,KOSPI,유통업,354103000000.0
558,이화산업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,760.0,KOSPI,유통업,40012000000.0
559,인디에프,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,14990.0,KOSPI,섬유의복,51076836600.0
560,인스코비,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,6490.0,KOSPI,통신업,141532000000.0
561,인지컨트롤스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,23800.0,KOSPI,운수장비,118253000000.0
563,인팩,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,23810.0,KOSPI,운수장비,83800000000.0
564,일동홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,230.0,KOSPI,의약품,99593652000.0
565,일성건설,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,13360.0,KOSPI,건설업,78282051120.0
571,일진다이아,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,81000.0,KOSPI,화학,181656000000.0
572,일진디스플,B이하,B이하,B이하,B이하,B이하,B이하,B+,B+,20760.0,KOSPI,전기전자,55171216611.0
573,일진전기,B+,B+,B이하,B이하,B이하,B이하,B이하,B이하,103590.0,KOSPI,전기전자,911268000000.0
574,일진홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,15860.0,KOSPI,기타금융,202078000000.0
575,자화전자,B이하,B이하,B이하,B+,B이하,B+,B이하,B이하,33240.0,KOSPI,전기전자,533956000000.0
582,제일연마,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1560.0,KOSPI,비금속광물,85100000000.0
584,제일파마홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2620.0,KOSPI,서비스업,163887000000.0
585,조광페인트,B이하,B+,B이하,B이하,B이하,B이하,B이하,B이하,4910.0,KOSPI,화학,79232000000.0
589,조일알미늄,B이하,B+,B+,B이하,B+,B+,B+,B+,18470.0,KOSPI,철강금속,298218000000.0
590,조흥,B이하,B+,B이하,B이하,B이하,B이하,B이하,B이하,2600.0,KOSPI,음식료품,104520000000.0
591,종근당바이오,B이하,B이하,B이하,B이하,B이하,B+,B이하,B이하,63160.0,KOSPI,의약품,128646000000.0
601,진양화학,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,51630.0,KOSPI,화학,56248000000.0
603,진흥기업,B이하,B이하,B+,B+,B+,B+,B+,B이하,2780.0,KOSPI,건설업,137180000000.0
608,체시스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,33250.0,KOSPI,운수장비,39520000000.0
609,카프로,B이하,B+,B+,B+,B+,B+,B+,B이하,6380.0,KOSPI,화학,29280000000.0
613,KCC,B이하,B+,B+,B+,B+,B+,A,B+,2380.0,KOSPI,화학,2146080000000.0
614,KCTC,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9070.0,KOSPI,운수창고업,113100000000.0
615,KT,A,A,A,A,A,A,A+,A,30200.0,KOSPI,통신업,8820760000000.0
616,KT&G,A,B+,A,B+,B+,B+,B+,B+,33780.0,KOSPI,기타제조업,11846300000000.0
618,코리아써키트,B이하,B이하,B이하,B+,B+,B+,B+,B+,7810.0,KOSPI,전기전자,365413000000.0
620,코스맥스비티아이,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,44820.0,KOSPI,기타금융,91333288710.0
622,코스모화학,B이하,B+,B+,B+,B+,B+,B+,B+,5420.0,KOSPI,화학,1219460000000.0
623,코아스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,71950.0,KOSPI,기타제조업,14062780550.0
624,코오롱,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2020.0,KOSPI,기타금융,202780000000.0
625,코오롱글로벌,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3070.0,KOSPI,건설업,161496000000.0
627,코웨이,A,A,A,A,A,A,A,A+,21240.0,KOSPI,서비스업,4125400000000.0
631,아센디오,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,12170.0,KOSPI,서비스업,112373000000.0
634,태광산업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3240.0,KOSPI,화학,702555000000.0
635,태림포장,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,11280.0,KOSPI,종이목재,199673000000.0
636,태양금속,B이하,B이하,B이하,B+,B+,B+,B+,B+,4100.0,KOSPI,운수장비,72188900000.0
637,태영건설,B이하,B이하,B이하,B+,B+,B이하,B이하,B이하,9410.0,KOSPI,건설업,89856916380.0
643,티에이치엔,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,19180.0,KOSPI,전기전자,63900000000.0
647,팜스코,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,36580.0,KOSPI,음식료품,106327000000.0
650,퍼시스,B이하,B이하,B+,B+,B이하,B이하,B이하,B이하,16800.0,KOSPI,기타제조업,407100000000.0
652,평화산업,B이하,B이하,B이하,B이하,B이하,B이하,B+,B+,90080.0,KOSPI,운수장비,61490530080.0
654,POSCO홀딩스,A+,A+,A,B+,A,A,A,A,5490.0,KOSPI,철강금속,33405600000000.0
655,포스코스틸리온,B이하,B+,B+,B+,B+,B+,B+,B+,58430.0,KOSPI,철강금속,279300000000.0
656,포스코인터내셔널,B이하,B이하,B이하,B이하,B이하,B이하,B이하,A,47050.0,KOSPI,유통업,7890140000000.0
659,풀무원,B이하,B+,B+,B이하,B+,A,A,A,17810.0,KOSPI,음식료품,470026000000.0
661,풍산,B+,B+,B+,B+,B+,A,B+,B+,103140.0,KOSPI,철강금속,1670250000000.0
663,KH필룩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,33180.0,KOSPI,전기전자,120579000000.0
664,하나금융지주,B이하,B이하,B+,B이하,B이하,B이하,B+,A,86790.0,KOSPI,기타금융,16664300000000.0
